Type Object,Operator Code,Category,Name NL,Name FR,Streetname NL,Streetname FR,HouseNumber,PostalCode,Longitude,Latitude,Accessibility
mailbox,BPST,PBUS,RB-3300-045,RB-3300-045,Begijnenstraat,Begijnenstraat,1,3300,4.8925930,50.7981870,0
postalpoint,BPST,AUTO,BBOX-AUTOM LIDL EVERE,BBOX DISTRIB LIDL EVERE,Leonard Mommaertslaan,Avenue Leonard Mommaerts,2,1140,4.4131120,50.8564920,0
postalpoint,DHLE,BPPE,Pers en Broodhuis Jan Van Rossem,Pers en Broodhuis Jan Van Rossem,Bosstraat,Bosstraat,152,1742,4.1290400,50.8807900,-1
postalpoint,GLS_,AUTO,GLS Parcel Locker powered by bpost,GLS Parcel Locker powered by bpost,NATIËNKAAI,NATIËNKAAI,1,8400,2.9262600,51.2288300,0
postalpoint,BPST,AUTO,Automaat - Gemeente Linter - Linter,Automaat - Gemeente Linter - Linter,Helen-Bosstraat,Helen-Bosstraat,43,3350,5.0621000,50.8055000,0
postalpoint,DHLE,BPPE,Librairie Woluwe,Librairie Woluwe,Francois Gaystraat,Rue Francois Gay,354,1150,4.4160380,50.8372380,1
postalpoint,BPST,AUTO,Automaat - Gemeente Linter - Linter,Automaat - Gemeente Linter - Linter,Motstraat,Motstraat,1,3350,4.6102980,50.4325910,0
postalpoint,BPST,AUTO,Automaat - Fun - Lokeren,Automaat - Fun - Lokeren,Zelebaan,Zelebaan,73,9160,4.0148000,51.0924000,0
postalpoint,BPST,AUTO,Automaat - Stad Mechelen - Mechelen,Automaat - Stad Mechelen - Mechelen,Pasbrugstraat,Pasbrugstraat,/,2800,5.5608720,50.9523140,0
postalpoint,DHLE,BPPE,T Klavertje Vier,T Klavertje Vier,Van Aertselaerstraat,Van Aertselaerstraat,22,2320,4.7631900,51.4105400,-1
postalpoint,BPST,AUTO,Automaat - Stad Mechelen - Mechelen,Automaat - Stad Mechelen - Mechelen,Ploegstraat,Ploegstraat,2,2800,5.3904630,50.8586420,0
postalpoint,BPST,AUTO,Automaat - Stad Mechelen - Mechelen,Automaat - Stad Mechelen - Mechelen,Posthoornstraat,Posthoornstraat,11,2800,4.4728690,51.0192310,0
postalpoint,BPST,AUTO,Automaat - Stad Mechelen - Mechelen,Automaat - Stad Mechelen - Mechelen,Raghenoplein,Raghenoplein,3,2800,3.6332560,50.6014690,0
postalpoint,BPST,AUTO,Automaat - Stad Mechelen - Mechelen,Automaat - Stad Mechelen - Mechelen,Ridder Dessainlaan,Ridder Dessainlaan,32,2800,4.9284220,50.7994970,0
postalpoint,BPST,AUTO,Automaat - Stad Mechelen - Mechelen,Automaat - Stad Mechelen - Mechelen,Rommekensbergstraat,Rommekensbergstraat,3,2800,4.4631330,51.0413190,0
